Ticker,startDate,endDate
ABBV,2013-01-31,2014-06-30
ABT,2014-12-31,2016-10-31
APD,2010-01-31,2013-01-31
BKNG,2018-02-28,2023-12-31
CL,2010-01-31,2010-01-31
DHR,2010-01-31,2010-03-31
DLR,2010-01-31,2010-01-31
DOW,2019-06-30,2021-05-31
GS,2020-09-30,2023-12-31
ISRG,2012-09-30,2023-12-31
JNJ,2010-02-28,2012-02-29
KVUE,2023-05-31,2023-12-31
LLY,2012-06-30,2014-05-31
PFE,2010-01-31,2010-02-28
SHW,2015-02-28,2017-03-31
UBER,2019-06-30,2019-08-31
UNP,2023-06-30,2023-12-31
VMC,2011-10-31,2013-09-30
VZ,2010-01-31,2023-12-31
WMB,2010-01-31,2012-05-31
